"RowIDs","Age_Group","License_Holders","JURISDICTION","GENDER","YEAR","Total"
"Row0","16-19",136254,"NSW","Female",2010,2315322
"Row0","20-24",186532,"NSW","Female",2010,2315322
"Row0","25-29",208155,"NSW","Female",2010,2315322
"Row0","30-39",457993,"NSW","Female",2010,2315322
"Row0","40-49",456544,"NSW","Female",2010,2315322
"Row0","50-59",400051,"NSW","Female",2010,2315322
"Row0","60-69",283479,"NSW","Female",2010,2315322
"Row0","70-79",139556,"NSW","Female",2010,2315322
"Row0","80+",46758,"NSW","Female",2010,2315322
"Row1","16-19",137008,"NSW","Female",2011,2369737
"Row1","20-24",193069,"NSW","Female",2011,2369737
"Row1","25-29",212912,"NSW","Female",2011,2369737
"Row1","30-39",460906,"NSW","Female",2011,2369737
"Row1","40-49",463234,"NSW","Female",2011,2369737
"Row1","50-59",410543,"NSW","Female",2011,2369737
"Row1","60-69",296446,"NSW","Female",2011,2369737
"Row1","70-79",144943,"NSW","Female",2011,2369737
"Row1","80+",50676,"NSW","Female",2011,2369737
"Row2","16-19",137689,"NSW","Female",2012,2418398
"Row2","20-24",197443,"NSW","Female",2012,2418398
"Row2","25-29",215084,"NSW","Female",2012,2418398
"Row2","30-39",461701,"NSW","Female",2012,2418398
"Row2","40-49",469189,"NSW","Female",2012,2418398
"Row2","50-59",421116,"NSW","Female",2012,2418398
"Row2","60-69",309668,"NSW","Female",2012,2418398
"Row2","70-79",152765,"NSW","Female",2012,2418398
"Row2","80+",53743,"NSW","Female",2012,2418398
"Row3","16-19",139198,"NSW","Female",2013,2460091
"Row3","20-24",198294,"NSW","Female",2013,2460091
"Row3","25-29",214947,"NSW","Female",2013,2460091
"Row3","30-39",465003,"NSW","Female",2013,2460091
"Row3","40-49",472387,"NSW","Female",2013,2460091
"Row3","50-59",430366,"NSW","Female",2013,2460091
"Row3","60-69",323208,"NSW","Female",2013,2460091
"Row3","70-79",160449,"NSW","Female",2013,2460091
"Row3","80+",56239,"NSW","Female",2013,2460091
"Row4","16-19",140367,"NSW","Female",2014,2504739
"Row4","20-24",199350,"NSW","Female",2014,2504739
"Row4","25-29",216933,"NSW","Female",2014,2504739
"Row4","30-39",471747,"NSW","Female",2014,2504739
"Row4","40-49",475479,"NSW","Female",2014,2504739
"Row4","50-59",438574,"NSW","Female",2014,2504739
"Row4","60-69",333489,"NSW","Female",2014,2504739
"Row4","70-79",170423,"NSW","Female",2014,2504739
"Row4","80+",58377,"NSW","Female",2014,2504739
"Row5","16-19",141662,"NSW","Female",2015,2557718
"Row5","20-24",201665,"NSW","Female",2015,2557718
"Row5","25-29",221972,"NSW","Female",2015,2557718
"Row5","30-39",481869,"NSW","Female",2015,2557718
"Row5","40-49",481264,"NSW","Female",2015,2557718
"Row5","50-59",444563,"NSW","Female",2015,2557718
"Row5","60-69",343801,"NSW","Female",2015,2557718
"Row5","70-79",180209,"NSW","Female",2015,2557718
"Row5","80+",60713,"NSW","Female",2015,2557718
"Row6","16-19",143365,"NSW","Female",2016,2605565
"Row6","20-24",201936,"NSW","Female",2016,2605565
"Row6","25-29",226743,"NSW","Female",2016,2605565
"Row6","30-39",491897,"NSW","Female",2016,2605565
"Row6","40-49",485894,"NSW","Female",2016,2605565
"Row6","50-59",447972,"NSW","Female",2016,2605565
"Row6","60-69",354081,"NSW","Female",2016,2605565
"Row6","70-79",189642,"NSW","Female",2016,2605565
"Row6","80+",64035,"NSW","Female",2016,2605565
"Row7","16-19",144158,"NSW","Female",2017,2657267
"Row7","20-24",203730,"NSW","Female",2017,2657267
"Row7","25-29",231063,"NSW","Female",2017,2657267
"Row7","30-39",504518,"NSW","Female",2017,2657267
"Row7","40-49",489871,"NSW","Female",2017,2657267
"Row7","50-59",450863,"NSW","Female",2017,2657267
"Row7","60-69",360249,"NSW","Female",2017,2657267
"Row7","70-79",205145,"NSW","Female",2017,2657267
