"YEAR","JURISDICTION","DETECTION_METHOD","TOTAL_FINES","LICENCE_TOTAL","FINES_PER_10K_LICENCES"
2008,"ACT","Police issued",2060,,
2008,"NSW","Police issued",40882,,
2008,"NT","Police issued",671,,
2008,"QLD","Police issued",28499,,
2008,"SA","Police issued",11411,,
2008,"TAS","Police issued",6780,,
2008,"VIC","Police issued",49739,,
2008,"WA","Police issued",15957,,
2009,"ACT","Police issued",1890,,
2009,"NSW","Police issued",41167,,
2009,"NT","Police issued",1106,,
2009,"QLD","Police issued",33352,,
2009,"SA","Police issued",14167,,
2009,"TAS","Police issued",5665,,
2009,"VIC","Police issued",53101,,
2009,"WA","Police issued",14804,,
2010,"ACT","Police issued",2407,287134,83.82845640014767
2010,"NSW","Police issued",51104,4791490,106.65575843839807
2010,"NT","Police issued",998,132561,75.28609470357044
2010,"QLD","Police issued",33013,3132341,105.39401680723778
2010,"SA","Police issued",14139,1130920,125.02210589608461
2010,"TAS","Police issued",3735,363291,102.8101439342015
2010,"VIC","Police issued",54728,3978322,137.5655364246534
2010,"WA","Police issued",11705,1566465,74.72238447715078
2011,"ACT","Police issued",2284,294174,77.64112396064914
2011,"NSW","Police issued",46714,4893688,95.45765892717313
2011,"NT","Police issued",729,133035,54.797609651595444
2011,"QLD","Police issued",30389,3240939,93.76603509044755
2011,"SA","Police issued",13402,1138713,117.69427414985164
2011,"TAS","Police issued",3241,367296,88.23945809374456
2011,"VIC","Police issued",52630,4060582,129.61196202908843
2011,"WA","Police issued",10485,1605793,65.29484186317913
2012,"ACT","Police issued",1722,301841,57.049903757276184
2012,"NSW","Police issued",42900,4984973,86.05864063857518
2012,"NT","Police issued",722,138077,52.28966446258247
2012,"QLD","Police issued",28548,3301004,86.48277917869837
2012,"SA","Police issued",11623,1151821,100.90977677955169
2012,"TAS","Police issued",2141,365359,58.599897634928936
2012,"VIC","Police issued",61497,4135725,148.69702410097383
2012,"WA","Police issued",17822,1623226,109.7937070993195
2013,"ACT","Police issued",1356,307834,44.0497151061936
2013,"NSW","Police issued",33514,5060762,66.22322883391868
2013,"NT","Police issued",1058,146404,72.26578508783913
2013,"QLD","Police issued",27998,3374824,82.96136331850194
2013,"SA","Police issued",12560,1183292,106.14455265479695
2013,"TAS","Police issued",2914,365295,79.77114387002287
2013,"VIC","Police issued",52452,4228230,124.05190824529413
2013,"WA","Police issued",14563,1854446,78.53019176616628
2014,"ACT","Police issued",1115,314244,35.481982153994984
2014,"NSW","Police issued",34952,5142396,67.96831671462097
2014,"NT","Police issued",517,150653,34.31727214194208
2014,"QLD","Police issued",25068,3384271,74.07208228891835
2014,"SA","Police issued",11886,1196554,99.33525774850112
2014,"TAS","Police issued",3256,366231,88.90563606030074
2014,"VIC","Police issued",41448,4310687,96.15172709129658
2014,"WA","Police issued",14377,1896560,75.80566921162526
2015,"ACT","Police issued",873,312267,27.95684462335117
2015,"NSW","Police issued",37989,5245755,72.4185555749363
2015,"NT","Police issued",492,152268,32.311450862952164
2015,"QLD","Police issued",23048,3432171,67.15283125461988
2015,"SA","Police issued",12446,1206194,103.18406491824697
2015,"TAS","Police issued",3273,370296,88.38874846069089
2015,"VIC","Police issued",33598,4384609,76.62712912371434
2015,"WA","Police issued",16666,1928430,86.42263395611974
2016,"ACT","Police issued",1120,328377,34.107139050542514
2016,"NSW","Police issued",38918,5337947,72.90817986765323
2016,"NT","Police issued",535,154405,34.64913700981186
2016,"QLD","Police issued",17213,3505706,49.099953047973784
2016,"SA","Police issued",11153,1219494,91.45596452299068
2016,"TAS","Police issued",3191,379305,84.12754907000962
2016,"VIC","Police issued",27925,4474502,62.40917983721987
2016,"WA","Police issued",14926,1952879,76.43074660539645
2017,"ACT","Police issued",1299,324439,40.03834310918231
2017,"NSW","Police issued",41020,5439711,75.40841783690347
2017,"NT","Police issued",546,156344,34.92299032901806
2017,"QLD","Police issued",15043,3580836,42.00974297622119
2017,"SA","Police issued",11252,1232106,91.32331146833145
2017,"TAS","Police issued",2738,380215,72.01188801073077
2017,"VIC","Police issued",29293,4565595,64.1603120732347
2017,"WA","Police issued",16718,1965031,85.07753821695434
2018,"ACT","Police issued",1399,330574,42.32032767247273
2018,"NSW","Police issued",37653,5529185,68.09864383268058
2018,"NT","Police issued",861,157296,54.73756484589563
2018,"QLD","Police issued",12828,3657643,35.07176616197918
2018,"SA","Police issued",8471,1246015,67.98473533625197
2018,"TAS","Police issued",2614,387773,67.4105726804084
2018,"VIC","Police issued",32458,4665764,69.5663132554497
2018,"WA","Police issued",17697,1977775,89.47933915637522
2019,"ACT","Police issued",1098,329637,33.30936757706204
2019,"NSW","Police issued",25463,5606175,45.41955968195784
2019,"NT","Police issued",760,156344,48.610755769329174
2019,"QLD","Police issued",11580,3719766,31.130990497789377
2019,"SA","Police issued",7567,1258216,60.140707159978895
2019,"TAS","Police issued",2355,398452,59.10373144067542
2019,"VIC","Police issued",36694,4748539,77.27429426187717
2019,"WA","Police issued",11850,1992380,59.47660586835844
2020,"ACT","Police issued",812,326495,24.8702124075407
2020,"NSW","Camera issued",138847,5648327,245.81969138826418
2020,"NSW","Police issued",12878,5648327,22.79967147794382
2020,"NT","Police issued",380,157831,24.076385500947218
2020,"QLD","Police issued",4823,3806397,12.670775013746596
2020,"SA","Police issued",6325,1271958,49.72648467952558
2020,"TAS","Police issued",1966,406437,48.37158034332504
2020,"VIC","Police issued",21231,4807706,44.160354231311146
2020,"WA","Police issued",7889,2013336,39.183722935466314
2021,"ACT","Police issued",544,326454,16.663909769829747
2021,"NSW","Camera issued",163722,5775889,283.4576634003874
2021,"NSW","Police issued",10360,5775889,17.9366327850137
2021,"NT","Police issued",309,159208,19.408572433546055
2021,"QLD","Camera issued",14574,3888986,37.47506419411127
2021,"QLD","Police issued",3973,3888986,10.216030605407168
2021,"SA","Police issued",4799,1294479,37.072830072948264
2021,"TAS","Police issued",2328,416263,55.92618128442835
2021,"VIC","Police issued",15562,4895143,31.790695389286892
2021,"WA","Police issued",4909,2036282,24.10766288755683
2022,"ACT","Police issued",374,334900,11.16751269035533
2022,"NSW","Camera issued",194793,5960216,326.8220480600032
2022,"NSW","Police issued",12904,5960216,21.650222072488646
2022,"NT","Police issued",302,159063,18.986187862670764
2022,"QLD","Camera issued",118152,3973138,297.3770354817779
2022,"QLD","Police issued",3487,3973138,8.776438170534222
2022,"SA","Police issued",4583,1329139,34.480968506679886
2022,"TAS","Police issued",1973,423676,46.56860431084131
2022,"VIC","Police issued",19428,4968836,39.09970061398686
2022,"WA","Police issued",6346,2078263,30.535115141827575
2023,"ACT","Police issued",288,341420,8.435358209829536
2023,"NSW","Camera issued",202757,6040358,335.6705016490744
2023,"NSW","Police issued",13285,6040358,21.993729510734298
2023,"NT","Police issued",205,161361,12.704432917495552
2023,"QLD","Camera issued",77213,4051724,190.5682618065791
2023,"QLD","Police issued",3079,4051724,7.599234301250529
2023,"SA","Police issued",5769,1340060,43.05031118009641
2023,"TAS","Camera issued",870,426528,20.397254107584967
2023,"TAS","Police issued",1558,426528,36.527496436341806
2023,"VIC","Camera issued",30723,5097911,60.26586184027144
2023,"VIC","Police issued",18823,5097911,36.922967074160375
2023,"WA","Police issued",3592,2132257,16.845999333101027
2024,"ACT","Camera issued",26936,347892,774.2632771089878
2024,"ACT","Police issued",189,347892,5.432720499465351
2024,"NSW","Camera issued",147272,6166226,238.83652658854865
2024,"NSW","Police issued",14725,6166226,23.880084836332628
2024,"NT","Police issued",244,163416,14.931218485338034
2024,"QLD","Camera issued",72314,4154952,174.0429251649598
2024,"QLD","Police issued",3020,4154952,7.268435351359053
2024,"SA","Police issued",4605,1362548,33.79697449190781
2024,"TAS","Camera issued",1284,429865,29.869842857641352
2024,"TAS","Police issued",1531,429865,35.61583287776395
2024,"VIC","Camera issued",42189,5260408,80.20100342026703
2024,"VIC","Police issued",12886,5260408,24.496198773935408
2024,"WA","Police issued",3731,2194816,16.999147081122064
