"YEAR","State","AGE GROUP","Method","Total_Fines","Total_Arrests","Total_Charges","Arrest_Rate","Charge_Rate"
2008,"ACT","All ages","Police issued",2060,0,0,0,0
2008,"NSW","All ages","Police issued",40882,0,0,0,0
2008,"NT","All ages","Police issued",671,0,0,0,0
2008,"QLD","All ages","Police issued",28499,0,0,0,0
2008,"SA","All ages","Police issued",11411,0,0,0,0
2008,"TAS","All ages","Police issued",6780,0,0,0,0
2008,"VIC","All ages","Police issued",49739,0,0,0,0
2008,"WA","All ages","Police issued",15957,0,0,0,0
2009,"ACT","All ages","Police issued",1890,0,0,0,0
2009,"NSW","All ages","Police issued",41167,0,0,0,0
2009,"NT","All ages","Police issued",1106,0,0,0,0
2009,"QLD","All ages","Police issued",33352,0,0,0,0
2009,"SA","All ages","Police issued",14167,0,0,0,0
2009,"TAS","All ages","Police issued",5665,0,0,0,0
2009,"VIC","All ages","Police issued",53101,0,0,0,0
2009,"WA","All ages","Police issued",14804,0,0,0,0
2010,"ACT","All ages","Police issued",2407,0,0,0,0
2010,"NSW","All ages","Police issued",51104,0,0,0,0
2010,"NT","All ages","Police issued",998,0,0,0,0
2010,"QLD","All ages","Police issued",33013,0,0,0,0
2010,"SA","All ages","Police issued",14139,0,0,0,0
2010,"TAS","All ages","Police issued",3735,0,0,0,0
2010,"VIC","All ages","Police issued",54728,0,0,0,0
2010,"WA","All ages","Police issued",11705,0,0,0,0
2011,"ACT","All ages","Police issued",2284,0,0,0,0
2011,"NSW","All ages","Police issued",46714,0,0,0,0
2011,"NT","All ages","Police issued",729,0,0,0,0
2011,"QLD","All ages","Police issued",30389,0,0,0,0
2011,"SA","All ages","Police issued",13402,0,0,0,0
2011,"TAS","All ages","Police issued",3241,0,0,0,0
2011,"VIC","All ages","Police issued",52630,0,0,0,0
2011,"WA","All ages","Police issued",10485,0,0,0,0
2012,"ACT","All ages","Police issued",1722,0,0,0,0
2012,"NSW","All ages","Police issued",42900,0,0,0,0
2012,"NT","All ages","Police issued",722,0,0,0,0
2012,"QLD","All ages","Police issued",28548,0,0,0,0
2012,"SA","All ages","Police issued",11623,0,0,0,0
2012,"TAS","All ages","Police issued",2141,0,0,0,0
2012,"VIC","All ages","Police issued",61497,0,0,0,0
2012,"WA","All ages","Police issued",17822,0,0,0,0
2013,"ACT","All ages","Police issued",1356,0,0,0,0
2013,"NSW","All ages","Police issued",33514,0,0,0,0
2013,"NT","All ages","Police issued",1058,0,0,0,0
2013,"QLD","All ages","Police issued",27998,0,0,0,0
2013,"SA","All ages","Police issued",12560,0,0,0,0
2013,"TAS","All ages","Police issued",2914,0,0,0,0
2013,"VIC","All ages","Police issued",52452,0,0,0,0
2013,"WA","All ages","Police issued",14563,0,0,0,0
2014,"ACT","All ages","Police issued",1115,0,0,0,0
2014,"NSW","All ages","Police issued",34952,0,0,0,0
2014,"NT","All ages","Police issued",517,0,0,0,0
2014,"QLD","All ages","Police issued",25068,0,0,0,0
2014,"SA","All ages","Police issued",11886,0,0,0,0
2014,"TAS","All ages","Police issued",3256,0,0,0,0
2014,"VIC","All ages","Police issued",41448,0,0,0,0
2014,"WA","All ages","Police issued",14377,0,0,0,0
2015,"ACT","All ages","Police issued",873,0,0,0,0
2015,"NSW","All ages","Police issued",37989,0,0,0,0
2015,"NT","All ages","Police issued",492,0,0,0,0
2015,"QLD","All ages","Police issued",23048,0,0,0,0
2015,"SA","All ages","Police issued",12446,0,0,0,0
2015,"TAS","All ages","Police issued",3273,0,0,0,0
2015,"VIC","All ages","Police issued",33598,0,0,0,0
2015,"WA","All ages","Police issued",16666,0,0,0,0
2016,"ACT","All ages","Police issued",1120,0,0,0,0
2016,"NSW","All ages","Police issued",38918,0,0,0,0
2016,"NT","All ages","Police issued",535,0,0,0,0
2016,"QLD","All ages","Police issued",17213,0,0,0,0
2016,"SA","All ages","Police issued",11153,0,0,0,0
2016,"TAS","All ages","Police issued",3191,0,0,0,0
2016,"VIC","All ages","Police issued",27925,0,0,0,0
2016,"WA","All ages","Police issued",14926,0,0,0,0
2017,"ACT","All ages","Police issued",1299,0,0,0,0
2017,"NSW","All ages","Police issued",41020,0,0,0,0
2017,"NT","All ages","Police issued",546,0,0,0,0
2017,"QLD","All ages","Police issued",15043,0,0,0,0
2017,"SA","All ages","Police issued",11252,0,0,0,0
2017,"TAS","All ages","Police issued",2738,0,0,0,0
2017,"VIC","All ages","Police issued",29293,0,0,0,0
2017,"WA","All ages","Police issued",16718,0,0,0,0
2018,"ACT","All ages","Police issued",1399,0,0,0,0
2018,"NSW","All ages","Police issued",37653,0,0,0,0
2018,"NT","All ages","Police issued",861,0,0,0,0
2018,"QLD","All ages","Police issued",12828,0,0,0,0
2018,"SA","All ages","Police issued",8471,0,0,0,0
2018,"TAS","All ages","Police issued",2614,0,0,0,0
2018,"VIC","All ages","Police issued",32458,0,0,0,0
2018,"WA","All ages","Police issued",17697,0,0,0,0
2019,"ACT","All ages","Police issued",1098,0,0,0,0
2019,"NSW","All ages","Police issued",25463,0,0,0,0
2019,"NT","All ages","Police issued",760,0,0,0,0
2019,"QLD","All ages","Police issued",11580,0,0,0,0
2019,"SA","All ages","Police issued",7567,0,0,0,0
2019,"TAS","All ages","Police issued",2355,0,0,0,0
2019,"VIC","All ages","Police issued",36694,0,0,0,0
2019,"WA","All ages","Police issued",11850,0,0,0,0
2020,"ACT","All ages","Police issued",812,0,0,0,0
2020,"NSW","All ages","Fixed or mobile camera",138847,0,0,0,0
2020,"NSW","All ages","Police issued",12878,0,0,0,0
2020,"NT","All ages","Police issued",380,0,0,0,0
2020,"QLD","All ages","Police issued",4823,0,0,0,0
2020,"SA","All ages","Police issued",6325,0,0,0,0
2020,"TAS","All ages","Police issued",1966,0,0,0,0
2020,"VIC","All ages","Police issued",21231,0,0,0,0
2020,"WA","All ages","Police issued",7889,0,0,0,0
2021,"ACT","All ages","Police issued",544,0,0,0,0
2021,"NSW","All ages","Fixed or mobile camera",163722,0,0,0,0
2021,"NSW","All ages","Police issued",10360,0,0,0,0
2021,"NT","All ages","Police issued",309,0,0,0,0
2021,"QLD","All ages","Fixed or mobile camera",14574,0,0,0,0
2021,"QLD","All ages","Police issued",3973,0,0,0,0
2021,"SA","All ages","Police issued",4799,0,0,0,0
2021,"TAS","All ages","Police issued",2328,0,0,0,0
2021,"VIC","All ages","Police issued",15562,0,0,0,0
2021,"WA","All ages","Police issued",4909,0,0,0,0
2022,"ACT","All ages","Police issued",374,0,0,0,0
2022,"NSW","All ages","Fixed or mobile camera",194793,0,0,0,0
2022,"NSW","All ages","Police issued",12904,0,0,0,0
2022,"NT","All ages","Police issued",302,0,0,0,0
2022,"QLD","All ages","Fixed or mobile camera",118152,0,0,0,0
2022,"QLD","All ages","Police issued",3487,0,0,0,0
2022,"SA","All ages","Police issued",4583,0,0,0,0
2022,"TAS","All ages","Police issued",1973,0,0,0,0
2022,"VIC","All ages","Police issued",19428,0,0,0,0
2022,"WA","All ages","Police issued",6346,0,0,0,0
2023,"ACT","0-16","Police issued",10,0,0,0,0
2023,"ACT","17-25","Police issued",82,0,0,0,0
2023,"ACT","26-39","Police issued",110,0,0,0,0
2023,"ACT","40-64","Police issued",79,0,0,0,0
2023,"ACT","65 and over","Police issued",7,0,0,0,0
2023,"NSW","0-16","Police issued",18,0,2,0,11.111
2023,"NSW","17-25","Police issued",4141,0,56,0,1.352
2023,"NSW","26-39","Police issued",5055,0,81,0,1.602
2023,"NSW","40-64","Police issued",3692,0,47,0,1.273
2023,"NSW","65 and over","Police issued",379,0,1,0,0.264
2023,"NSW","Unknown","Fixed or mobile camera",202757,0,0,0,0
2023,"NT","17-25","Police issued",41,2,6,4.878,14.634
2023,"NT","26-39","Police issued",90,1,2,1.111,2.222
2023,"NT","40-64","Police issued",64,0,0,0,0
2023,"NT","65 and over","Police issued",10,2,6,20,60
2023,"QLD","Unknown","Fixed or mobile camera",77213,0,0,0,0
2023,"QLD","Unknown","Police issued",3079,0,0,0,0
2023,"SA","0-16","Police issued",3,0,0,0,0
2023,"SA","17-25","Police issued",1387,0,0,0,0
2023,"SA","26-39","Police issued",2272,0,0,0,0
2023,"SA","40-64","Police issued",1805,0,0,0,0
2023,"SA","65 and over","Police issued",302,0,0,0,0
2023,"SA","Unknown","Police issued",0,0,0,,
2023,"TAS","0-16","Police issued",0,0,0,,
2023,"TAS","17-25","Fixed or mobile camera",80,0,0,0,0
2023,"TAS","17-25","Police issued",360,0,13,0,3.611
2023,"TAS","26-39","Fixed or mobile camera",361,0,0,0,0
2023,"TAS","26-39","Police issued",656,0,21,0,3.201
2023,"TAS","40-64","Fixed or mobile camera",374,0,0,0,0
2023,"TAS","40-64","Police issued",463,0,3,0,0.648
2023,"TAS","65 and over","Fixed or mobile camera",55,0,0,0,0
2023,"TAS","65 and over","Police issued",79,0,0,0,0
2023,"VIC","0-16","Police issued",6,0,0,0,0
2023,"VIC","17-25","Mobile camera",893,0,0,0,0
2023,"VIC","17-25","Police issued",3547,0,0,0,0
2023,"VIC","26-39","Mobile camera",4843,0,0,0,0
2023,"VIC","26-39","Police issued",8319,0,0,0,0
2023,"VIC","40-64","Mobile camera",5914,0,0,0,0
2023,"VIC","40-64","Police issued",6248,0,0,0,0
2023,"VIC","65 and over","Mobile camera",877,0,0,0,0
2023,"VIC","65 and over","Police issued",695,0,0,0,0
2023,"VIC","Unknown","Mobile camera",18196,0,0,0,0
2023,"VIC","Unknown","Police issued",8,0,0,0,0
2023,"WA","0-16","Unknown",0,0,1,,
2023,"WA","17-25","Police issued",706,0,0,0,0
2023,"WA","17-25","Unknown",0,1,34,,
2023,"WA","26-39","Police issued",1512,0,0,0,0
2023,"WA","26-39","Unknown",0,3,66,,
2023,"WA","40-64","Police issued",1227,0,0,0,0
2023,"WA","40-64","Unknown",0,3,50,,
2023,"WA","65 and over","Police issued",147,0,0,0,0
2023,"WA","65 and over","Unknown",0,0,6,,
2024,"ACT","0-16","Fixed or mobile camera",4,0,0,0,0
2024,"ACT","0-16","Police issued",3,0,0,0,0
2024,"ACT","17-25","Fixed or mobile camera",3601,0,0,0,0
2024,"ACT","17-25","Police issued",54,0,3,0,5.556
2024,"ACT","26-39","Fixed or mobile camera",10788,0,0,0,0
2024,"ACT","26-39","Police issued",75,1,6,1.333,8
2024,"ACT","40-64","Fixed or mobile camera",10535,0,0,0,0
2024,"ACT","40-64","Police issued",52,1,4,1.923,7.692
2024,"ACT","65 and over","Fixed or mobile camera",1236,0,0,0,0
2024,"ACT","65 and over","Police issued",3,0,0,0,0
2024,"ACT","Unknown","Fixed or mobile camera",772,0,0,0,0
2024,"ACT","Unknown","Police issued",2,0,0,0,0
2024,"NSW","0-16","Police issued",22,0,7,0,31.818
2024,"NSW","17-25","Police issued",5327,0,91,0,1.708
2024,"NSW","26-39","Police issued",5303,0,67,0,1.263
2024,"NSW","40-64","Police issued",3652,0,38,0,1.041
2024,"NSW","65 and over","Police issued",421,0,5,0,1.188
